Category URL,Category name,Product URL,Product name,Unit,Price,Image
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/purina-pro-plan-biscuits-dental-bar-150gr-para-perros.html,Purina Pro Plan Biscuits Dental Bar 150gr.,Unit name Not Found,14.85,https://www.petsonic.com/13407-large_default/purina-pro-plan-biscuits-dental-bar-150gr-para-perros.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/purina-pro-plan-adventuros-strips-venado-para-perros.html,Purina Pro Plan Adventuros Strips Venado,Pack 6 sobres de 90gr,6.30,https://www.petsonic.com/14128-large_default/purina-pro-plan-adventuros-strips-venado-para-perros.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/purina-pro-plan-adventuros-mini-sticks-bufalo-para-perros.html,Purina Pro Plan Adventuros Mini Sticks de Búfalo,Pack 6 sobres de 90gr,6.30,https://www.petsonic.com/14127-large_default/purina-pro-plan-adventuros-mini-sticks-bufalo-para-perros.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/purina-pro-plan-adventuros-sticks-bufalo-para-perros.html,Purina Pro Plan Adventuros Sticks de Búfalo,120 gr,6.30,https://www.petsonic.com/14130-large_default/purina-pro-plan-adventuros-sticks-bufalo-para-perros.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/purina-pro-plan-adventuros-sticks-bufalo-para-perros.html,Purina Pro Plan Adventuros Sticks de Búfalo,6 Unidades.,6.30,https://www.petsonic.com/14130-large_default/purina-pro-plan-adventuros-sticks-bufalo-para-perros.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/orijen-treat-free-run-duck-42-5-gr-para-perros.html,Orijen Free Run Duck dog treats premios para perro 100% proteina y nada mas,42.5 Gr,6.48,https://www.petsonic.com/19383-large_default/orijen-treat-free-run-duck-42-5-gr-para-perros.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/orijen-treat-wild-board-56-gr-para-perros.html,Orijen Wild Boar dog treats premios para perro 100% proteina y nada mas,42.5 Gr,5.36,https://www.petsonic.com/20625-large_default/orijen-treat-wild-board-56-gr-para-perros.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/siete-anos-snack.html,Advance +7 Años Snack senior para perros mayores,Pack 7 sobres 150Grs.,14.83,https://www.petsonic.com/18861-large_default/siete-anos-snack.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/affinity-advance-appetite-control-snack-para-perros.html,Advance Appetite Control Snack para perros. Con efecto saciante,Pack 7 sobres 150Grs.,17.33,https://www.petsonic.com/18862-large_default/affinity-advance-appetite-control-snack-para-perros.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/orijen-treats-original-56gr-para-perros.html,Orijen Original dog treats premios para perro 100% proteina y nada mas,42.5 Gr,5.55,https://www.petsonic.com/9782-large_default/orijen-treats-original-56gr-para-perros.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/snack-healthy-treats-mini-para-perro.html,Specific Snack Healthy Treats Mini para Perro,1 unidad de 300gr,2.51,https://www.petsonic.com/14914-large_default/snack-healthy-treats-mini-para-perro.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/snack-healthy-treats-para-perro.html,Specific Snack Healthy Treats para Perro,1 unidad de 300gr,2.65,https://www.petsonic.com/14915-large_default/snack-healthy-treats-para-perro.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/snack-healthy-treats-hypoallergenic-para-perro.html,Specific Snack Healthy Treats Hypoallergenic para Perro,1 unidad de 300gr,3.13,https://www.petsonic.com/14916-large_default/snack-healthy-treats-hypoallergenic-para-perro.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/snack-crunchy-cordero-arandanos.html,Carnilove Snack Crunchy Cordero y Arándanos premio crujiente para perro Lamb & Cranberries,6 Unidades.,13.49,https://www.petsonic.com/19061-large_default/snack-crunchy-cordero-arandanos.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/snack-crunchy-avestruz-moras.html,Carnilove Snack Crunchy Avestruz y Moras premio crujiente para perro Ostrich & Blackberries,6 Unidades.,13.49,https://www.petsonic.com/19062-large_default/snack-crunchy-avestruz-moras.jpg
https://www.petsonic.com/galletas-para-perro/,Galletas para Perro,https://www.petsonic.com/snack-crunchy-salmon-arandanos.html,Carnilove Snack Crunchy Salmón con Arándanos premio crujiente para perro Salmon & Blueberries,6 Unidades.,13.49,https://www.petsonic.com/19064-large_default/snack-crunchy-salmon-arandanos.jpg
